POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Robin Uthappa,16,16,1,660,83*,44.00,479,137.78,0,5,74,18
2,Virender Sehwag,17,17,0,455,122,26.76,315,144.44,1,1,56,18
3,Suresh Raina,16,16,3,523,87,40.23,358,146.08,0,5,51,19
4,Dwayne Smith,16,16,0,566,79,35.37,416,136.05,0,5,50,34
5,Shikhar Dhawan,14,14,1,377,64*,29.00,319,118.18,0,2,49,7
6,Glenn Maxwell,16,16,0,552,95,34.50,294,187.75,0,4,48,36
7,Lendl Simmons,8,8,1,394,100*,56.28,291,135.39,1,3,43,14
8,David Warner,14,14,3,528,90,48.00,375,140.80,0,6,39,24
9,Ajinkya Rahane,13,12,0,339,72,28.25,291,116.49,0,3,38,3
10,Karun Nair,11,11,1,330,73*,33.00,232,142.24,0,3,38,9
11,Gautam Gambhir,16,16,1,335,69,22.33,293,114.33,0,3,36,4
12,Manish Pandey,16,16,3,401,94,30.84,340,117.94,0,2,35,10
13,David Miller,16,16,6,446,66,44.60,299,149.16,0,3,34,21
14,Kevin Pietersen,11,11,1,294,58,29.40,233,126.18,0,1,34,7
15,Wriddhiman Saha,17,13,2,362,115*,32.90,249,145.38,1,2,33,18
16,Brendon McCullum,14,14,1,405,71*,31.15,333,121.62,0,3,32,19
17,Rohit Sharma,15,15,2,390,59*,30.00,302,129.13,0,3,31,16
18,Ambati Rayudu,15,14,0,361,68,25.78,287,125.78,0,2,31,8
19,Aaron Finch,13,13,2,309,88*,28.09,263,117.49,0,2,31,9
20,Parthiv Patel,12,12,2,205,57*,20.50,185,110.81,0,1,30,1
21,Dinesh Karthik,14,14,0,325,69,23.21,258,125.96,0,3,28,11
22,Manan Vohra,8,8,0,324,67,40.50,233,139.05,0,1,27,16
23,AB de Villiers,14,13,2,395,89*,35.90,249,158.63,0,3,26,24
24,Faf du Plessis,15,12,1,303,54*,27.54,235,128.93,0,2,26,7
25,Sanju Samson,13,13,0,339,74,26.07,273,124.17,0,2,25,17
26,Virat Kohli,14,14,1,359,73,27.61,294,122.10,0,2,23,16
27,JP Duminy,14,14,6,410,67*,51.25,305,134.42,0,2,22,20
28,Yuvraj Singh,14,14,3,376,83,34.18,278,135.25,0,3,22,28
29,MS Dhoni,16,15,10,371,57*,74.20,250,148.40,0,1,22,20
30,Shakib Al Hasan,13,11,4,227,60,32.42,152,149.34,0,1,22,7
31,Corey Anderson,12,11,2,265,95*,29.44,181,146.40,0,1,21,15
32,Murali Vijay,11,11,0,207,52,18.81,192,107.81,0,1,20,5
33,George Bailey,17,16,7,257,40*,28.55,190,135.26,0,0,19,10
34,Shane Watson,13,13,1,240,51,20.00,196,122.44,0,2,19,14
35,Quinton de Kock,7,7,0,153,48,21.85,130,117.69,0,0,19,4
36,Chris Gayle,9,9,0,196,46,21.77,184,106.52,0,0,18,12
37,Michael Hussey,9,9,0,209,56,23.22,182,114.83,0,2,17,7
38,Cheteshwar Pujara,6,6,1,125,40*,25.00,124,100.80,0,0,17,0
39,Yogesh Takawale,5,5,0,104,45,20.80,91,114.28,0,0,17,1
40,Suryakumar Yadav,16,10,5,164,34,32.80,117,140.17,0,0,16,5
41,Aditya Tare,15,12,4,126,24,15.75,98,128.57,0,0,16,3
42,Kieron Pollard,15,15,7,273,78,34.12,203,134.48,0,1,15,15
