POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Rishabh Pant,14,14,1,684,128*,52.61,394,173.60,1,5,68,37
2,Shane Watson,15,15,1,555,117*,39.64,359,154.59,2,2,44,35
3,Ambati Rayudu,16,16,2,602,100*,43.00,402,149.75,1,3,53,34
4,KL Rahul,14,14,2,659,95*,54.91,416,158.41,0,6,66,32
5,Andre Russell,16,14,3,316,88*,28.72,171,184.79,0,1,17,31
6,AB de Villiers,12,11,2,480,90*,53.33,275,174.54,0,6,39,30
7,MS Dhoni,16,15,9,455,79*,75.83,302,150.66,0,3,24,30
8,Kane Williamson,17,17,3,735,84,52.50,516,142.44,0,8,64,28
9,Chris Gayle,11,11,2,368,104*,40.88,252,146.03,1,3,30,27
10,Evin Lewis,13,13,0,382,65,29.38,276,138.40,0,2,32,24
11,Sunil Narine,16,16,0,357,75,22.31,188,189.89,0,2,40,23
12,Jos Buttler,13,13,3,548,95*,54.80,353,155.24,0,5,52,21
13,Shreyas Iyer,14,14,3,411,93*,37.36,310,132.58,0,4,29,21
14,Robin Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,30,21
15,Sanju Samson,15,15,1,441,92*,31.50,320,137.81,0,3,30,19
16,Virat Kohli,14,14,3,530,92*,48.18,381,139.10,0,4,52,18
17,Chris Lynn,16,16,1,491,74,32.73,377,130.23,0,3,56,18
18,Ishan Kishan,14,12,0,275,62,22.91,184,149.45,0,2,22,17
19,Suryakumar Yadav,14,14,0,512,72,36.57,384,133.33,0,4,61,16
20,Dinesh Karthik,16,16,6,498,52,49.80,337,147.77,0,2,49,16
21,Nitish Rana,15,15,2,304,59,23.38,232,131.03,0,1,26,14
22,Shikhar Dhawan,16,16,3,497,92*,38.23,363,136.91,0,4,59,14
23,Karun Nair,13,12,0,301,54,25.08,221,136.19,0,2,23,13
24,Rohit Sharma,14,14,2,286,94,23.83,215,133.02,0,2,25,12
25,Suresh Raina,15,15,3,445,75*,37.08,336,132.44,0,4,46,12
26,Vijay Shankar,13,11,7,212,54*,53.00,148,143.24,0,1,11,11
27,Hardik Pandya,13,13,4,260,50,28.88,195,133.33,0,1,20,11
28,Mandeep Singh,14,13,3,252,47*,25.20,186,135.48,0,0,16,11
29,Yusuf Pathan,15,13,4,260,45*,28.88,200,130.00,0,0,22,11
30,Colin de Grandhomme,9,8,3,131,40,26.20,84,155.95,0,0,4,10
31,Prithvi Shaw,9,9,0,245,65,27.22,160,153.12,0,2,27,10
32,Krunal Pandya,14,13,3,228,41*,22.80,157,145.22,0,0,22,10
33,Dwayne Bravo,16,10,6,141,68,35.25,91,154.94,0,1,8,10
34,Glenn Maxwell,12,12,0,169,47,14.08,120,140.83,0,0,14,9
35,Krishnappa Gowtham,15,13,4,126,33*,14.00,64,196.87,0,0,9,9
36,Carlos Brathwaite,4,4,1,75,43*,25.00,48,156.25,0,0,1,8
37,Quinton de Kock,8,8,0,201,53,25.12,162,124.07,0,1,20,8
38,Ben Cutting,9,6,2,96,37,24.00,58,165.51,0,0,5,8
39,Aaron Finch,10,9,1,134,46,16.75,100,134.00,0,0,6,8
40,Rahul Tripathi,12,12,3,226,80*,25.11,167,135.32,0,1,18,8
41,Jason Roy,5,5,1,120,91*,30.00,94,127.65,0,1,9,7
42,Kieron Pollard,9,8,1,133,50,19.00,100,133.00,0,1,10,7
43,Harshal Patel,5,2,1,60,36*,60.00,33,181.81,0,0,1,6
44,Moeen Ali,5,4,0,77,65,19.25,46,167.39,0,1,4,6
45,Alex Hales,6,6,0,148,45,24.66,118,125.42,0,0,13,6
46,Brendon McCullum,6,6,0,127,43,21.16,88,144.31,0,0,16,6
47,Faf du Plessis,6,6,1,162,67*,32.40,129,125.58,0,1,17,6
48,Ben Stokes,13,13,1,196,45,16.33,161,121.73,0,0,13,6
49,Rashid Khan,17,7,2,59,34*,11.80,31,190.32,0,0,3,6
50,Abhishek Sharma,3,3,2,63,46*,63.00,33,190.90,0,0,3,5
51,D'Arcy Short,7,7,0,115,44,16.42,99,116.16,0,0,11,5
52,Sam Billings,10,8,0,108,56,13.50,78,138.46,0,1,8,5
53,Mayank Agarwal,11,11,1,120,30,12.00,94,127.65,0,0,9,5
54,Shubman Gill,13,11,5,203,57*,33.83,139,146.04,0,1,22,5
55,Ravichandran Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,7,5
56,Manish Pandey,15,13,2,284,62*,25.81,246,115.44,0,3,22,5
57,Ajinkya Rahane,15,14,1,370,65*,28.46,313,118.21,0,1,39,5
58,Shakib Al Hasan,17,13,2,239,35,21.72,197,121.31,0,0,26,5
59,Manan Vohra,4,4,0,55,45,13.75,47,117.02,0,0,2,4
60,Colin Munro,5,5,0,63,33,12.60,41,153.65,0,0,7,4
61,Parthiv Patel,6,6,1,153,53,30.60,109,140.36,0,1,20,4
62,Washington Sundar,7,6,3,65,35,21.66,38,171.05,0,0,5,4
63,Marcus Stoinis,7,7,3,99,29*,24.75,76,130.26,0,0,6,4
64,Axar Patel,9,8,2,80,19,13.33,69,115.94,0,0,3,4
65,Deepak Chahar,12,4,1,50,39,16.66,29,172.41,0,0,1,4
