POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Michael Hussey,17,17,3,733,95,52.35,566,129.50,0,6,81,17
2,Virat Kohli,16,16,2,634,99,45.28,457,138.73,0,6,64,22
3,Rahul Dravid,18,17,1,471,65,29.43,425,110.82,0,4,64,5
4,Shane Watson,16,16,2,543,101,38.78,380,142.89,1,2,59,22
5,Chris Gayle,16,16,4,708,175*,59.00,453,156.29,1,4,57,51
6,Dinesh Karthik,19,19,1,510,86,28.33,411,124.08,0,2,54,14
7,Aaron Finch,14,14,0,456,67,32.57,336,135.71,0,4,54,16
8,Gautam Gambhir,16,16,0,406,60,25.37,343,118.36,0,4,51,5
9,Suresh Raina,18,17,4,548,100*,42.15,365,150.13,1,4,50,18
10,Ajinkya Rahane,18,18,4,488,68*,34.85,458,106.55,0,4,42,11
11,Robin Uthappa,16,16,0,434,75,27.12,371,116.98,0,2,42,12
12,David Warner,16,16,3,410,77,31.53,323,126.93,0,4,41,14
13,Virender Sehwag,13,13,1,295,95*,24.58,233,126.60,0,1,41,6
14,Adam Gilchrist,13,13,1,294,85*,24.50,229,128.38,0,1,41,6
15,Dwayne Smith,13,13,0,418,68,32.15,341,122.58,0,4,40,19
16,Mahela Jayawardene,15,15,0,331,66,22.06,313,105.75,0,2,39,6
17,Shaun Marsh,8,8,0,300,77,37.50,249,120.48,0,3,39,4
18,Sachin Tendulkar,14,14,1,287,54,22.07,231,124.24,0,1,38,5
19,Shikhar Dhawan,10,10,2,311,73*,38.87,253,122.92,0,3,37,5
20,Parthiv Patel,13,13,0,294,61,22.61,255,115.29,0,1,37,4
21,Mandeep Singh,16,14,1,260,77*,20.00,223,116.59,0,1,36,0
22,Manvinder Bisla,14,14,1,255,92,19.61,236,108.05,0,2,36,6
23,Rohit Sharma,19,19,5,538,79*,38.42,409,131.54,0,4,35,28
24,Jacques Kallis,16,16,1,311,41,20.73,322,96.58,0,0,35,3
25,AB de Villiers,14,14,4,360,64,36.00,219,164.38,0,2,34,15
26,MS Dhoni,18,16,5,461,67*,41.90,283,162.89,0,4,32,25
27,Yusuf Pathan,16,16,5,332,72,30.18,240,138.33,0,1,30,14
28,David Miller,12,12,5,418,101*,59.71,254,164.56,1,3,28,24
29,Eoin Morgan,14,13,2,307,51,27.90,240,127.91,0,1,28,13
30,Kieron Pollard,18,18,8,420,66*,42.00,281,149.46,0,3,27,29
31,Murali Vijay,15,15,1,312,55,22.28,286,109.09,0,2,27,8
32,Brad Hodge,17,14,7,293,54*,41.85,218,134.40,0,1,27,9
33,Stuart Binny,17,16,7,293,41*,32.55,199,147.23,0,0,25,12
34,Ambati Rayudu,19,17,3,265,37,18.92,231,114.71,0,0,22,4
35,Azhar Mahmood,11,10,0,196,80,19.60,154,127.27,0,2,22,5
36,Manan Vohra,12,10,2,161,43*,20.12,117,137.60,0,0,22,2
37,Ben Rohrer,8,8,2,193,64*,32.16,140,137.85,0,1,21,5
38,David Hussey,12,11,1,235,41,23.50,209,112.44,0,0,20,6
39,Moises Henriques,10,9,5,165,44,41.25,125,132.00,0,0,20,3
40,Sanju Samson,11,10,2,206,63,25.75,178,115.73,0,1,19,5
41,Cameron White,13,13,1,209,52,17.41,191,109.42,0,1,18,7
42,Hanuma Vihari,17,17,3,241,46,17.21,278,86.69,0,0,17,1
43,Ravindra Jadeja,18,14,6,201,38*,25.12,135,148.88,0,0,17,6
44,Unmukt Chand,9,9,0,158,41,17.55,158,100.00,0,0,17,4
45,Dishant Yagnik,12,9,1,125,34,15.62,96,130.20,0,0,17,2
46,Luke Wright,6,6,1,106,44,21.20,60,176.66,0,0,16,3
47,Steve Smith,7,7,3,159,41,39.75,132,120.45,0,0,15,4
48,Yuvraj Singh,13,13,1,238,34,19.83,190,125.26,0,0,14,15
49,Aditya Tare,5,5,0,123,59,24.60,84,146.42,0,1,14,5
50,Cheteshwar Pujara,4,4,0,92,51,23.00,99,92.92,0,1,14,0
51,Biplap Samantray,8,7,2,123,55,24.60,111,110.81,0,1,13,2
52,Kumar Sangakkara,9,9,0,120,28,13.33,136,88.23,0,0,13,0
53,Thisara Perera,16,14,4,233,40,23.30,163,142.94,0,0,12,14
