POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
1,Chris Gayle,12,12,3,608,107,67.55,332,183.13,2,3,57,44
2,MS Dhoni,16,13,4,392,70*,43.55,247,158.70,0,2,25,23
3,Shaun Marsh,14,13,1,504,95,42.00,344,146.51,0,4,52,20
4,Paul Valthaty,14,14,1,463,120*,35.61,338,136.98,1,2,56,20
5,Murali Vijay,16,16,0,434,95,27.12,339,128.02,0,3,34,20
6,Virender Sehwag,11,11,0,424,119,38.54,240,176.66,1,2,51,18
7,Yuvraj Singh,14,13,3,343,66*,34.30,261,131.41,0,2,24,18
8,Adam Gilchrist,14,14,0,383,106,27.35,295,129.83,1,2,41,18
9,Shane Watson,11,11,1,330,89*,33.00,253,130.43,0,1,31,17
10,Suresh Raina,16,16,2,438,73*,31.28,325,134.76,0,4,36,17
11,Brendon McCullum,13,13,0,357,81,27.46,275,129.81,0,1,35,16
12,Virat Kohli,16,16,4,557,71,46.41,460,121.08,0,4,55,16
13,Ravindra Jadeja,14,12,3,283,47,31.44,228,124.12,0,0,20,14
14,Manoj Tiwary,15,14,7,359,61*,51.28,325,110.46,0,1,26,14
15,AB de Villiers,16,13,4,312,65,34.66,243,128.39,0,2,21,14
16,Venugopal Rao,14,14,2,336,60,28.00,280,120.00,0,1,30,13
17,Yusuf Pathan,15,11,1,283,47*,28.30,201,140.79,0,0,24,13
18,Rohit Sharma,16,14,3,372,87,33.81,297,125.25,0,3,32,13
19,Jesse Ryder,13,13,0,292,60,22.46,197,148.22,0,2,37,11
20,David Warner,13,13,0,324,77,24.92,276,117.39,0,3,34,11
21,Naman Ojha,14,14,1,160,29,12.30,161,99.37,0,0,11,11
22,Sunny Sohal,11,10,0,249,62,24.90,191,130.36,0,2,25,10
23,Ashok Menaria,13,10,1,180,34,20.00,152,118.42,0,0,10,10
24,Robin Uthappa,14,13,3,264,45,26.40,209,126.31,0,0,27,10
25,Brad Hodge,14,14,6,285,51*,35.62,236,120.76,0,1,26,9
26,Subramaniam Badrinath,16,13,6,396,71*,56.57,313,126.51,0,5,38,9
27,Ambati Rayudu,16,16,2,395,63*,28.21,350,112.85,0,4,44,9
28,JP Duminy,10,10,0,205,55,20.50,174,117.81,0,1,9,8
29,Albie Morkel,15,13,7,138,30*,23.00,102,135.29,0,0,8,8
30,Ross Taylor,12,11,6,181,47*,36.20,152,119.07,0,0,11,7
31,Dan Christian,14,13,2,190,30,17.27,159,119.49,0,0,9,7
32,Dinesh Karthik,14,13,2,282,69,25.63,220,128.18,0,1,32,7
33,Shikhar Dhawan,14,14,2,400,95*,33.33,310,129.03,0,2,47,7
34,Manish Pandey,10,9,0,246,59,27.33,227,108.37,0,1,28,6
35,Yogesh Nagar,11,10,3,111,23,15.85,100,111.00,0,0,6,6
36,Irfan Pathan,14,12,4,150,44*,18.75,138,108.69,0,0,12,6
37,Michael Hussey,14,14,2,492,83*,41.00,414,118.84,0,4,53,6
38,Harbhajan Singh,15,8,5,103,30,34.33,71,145.07,0,0,9,6
39,Jacques Kallis,15,14,2,424,80*,35.33,378,112.16,0,4,46,6
40,Kieron Pollard,16,13,3,146,28,14.60,133,109.77,0,0,12,6
41,Ryan ten Doeschate,6,3,1,107,70*,53.50,73,146.57,0,1,9,5
42,Tirumalasetti Suman,8,7,1,65,36,10.83,51,127.45,0,0,5,5
43,Mahela Jayawardene,13,13,0,299,76,23.00,257,116.34,0,3,35,5
44,Kumar Sangakkara,13,13,0,358,65,27.53,293,122.18,0,1,44,5
45,Saurabh Tiwary,16,13,5,187,42*,23.37,188,99.46,0,0,13,5
46,Sachin Tendulkar,16,16,3,553,100*,42.53,488,113.31,1,2,67,5
47,Davy Jacobs,6,6,0,92,32,15.33,88,104.54,0,0,10,4
48,Wriddhiman Saha,7,3,2,68,46*,68.00,63,107.93,0,0,2,4
49,Mayank Agarwal,8,7,0,141,41,20.14,120,117.50,0,0,16,4
50,Mithun Manhas,10,10,0,114,35,11.40,123,92.68,0,0,8,4
51,Dwaraka Ravi Teja,12,9,2,183,60,26.14,144,127.08,0,1,17,4
52,Bharat Chipli,14,13,5,207,61*,25.87,170,121.76,0,1,21,4
53,Mitchell Marsh,5,3,1,50,37,25.00,49,102.04,0,0,2,3
54,Aaron Finch,6,6,0,47,25,7.83,46,102.17,0,0,3,3
55,David Hussey,8,8,2,64,21*,10.66,63,101.58,0,0,3,3
56,Srikkanth Anirudha,9,5,1,83,64,20.75,74,112.16,0,1,6,3
57,James Hopes,10,8,3,196,55,39.20,158,124.05,0,2,22,3
58,Tillakaratne Dilshan,10,10,2,226,59*,28.25,180,125.55,0,2,33,3
59,Andrew Symonds,11,9,5,135,44*,33.75,138,97.82,0,0,9,3
60,Eoin Morgan,12,9,0,137,66,15.22,117,117.09,0,1,17,3
61,Gautam Gambhir,15,15,4,378,75*,34.36,317,119.24,0,2,44,3
62,Owais Shah,3,2,0,26,23,13.00,15,173.33,0,0,1,2
63,VVS Laxman,3,3,0,44,36,14.66,42,104.76,0,0,3,2
64,Sourav Ganguly,4,3,1,50,32*,25.00,59,84.74,0,0,3,2
65,Luke Pomersbach,5,4,0,51,29,12.75,39,130.76,0,0,4,2
66,Travis Birt,5,5,0,75,27,15.00,58,129.31,0,0,9,2
67,Asad Pathan,6,5,1,33,14,8.25,16,206.25,0,0,5,2
68,Mohnish Mishra,6,5,1,67,37*,16.75,60,111.66,0,0,5,2
69,Cameron White,6,6,2,104,31*,26.00,109,95.41,0,0,6,2
70,Aiden Blizzard,6,6,0,120,51,20.00,87,137.93,0,1,21,2
71,James Franklin,8,5,3,107,45*,53.50,78,137.17,0,0,10,2
72,Ajinkya Rahane,10,7,1,120,52,20.00,98,122.44,0,1,12,2
73,Johan Botha,10,9,4,230,67*,46.00,198,116.16,0,1,20,2
74,Morne Morkel,11,5,3,40,16*,20.00,25,160.00,0,0,3,2
75,Piyush Chawla,12,6,3,48,15,16.00,55,87.27,0,0,2,2
76,Rahul Dravid,12,12,1,343,66,31.18,314,109.23,0,1,45,2
77,Rahul Sharma,14,5,2,24,13,8.00,21,114.28,0,0,1,2
78,Parthiv Patel,14,13,3,202,37*,20.20,183,110.38,0,0,25,2
79,Balachandra Akhil,1,1,0,13,13,13.00,9,144.44,0,0,0,1
